iter	Passed	Remaining
680	24496	47446
681	24526	47397
682	24559	47357
683	24595	47320
684	24628	47280
685	24664	47242
686	24699	47206
687	24738	47175
688	24778	47147
689	24818	47118
690	24858	47091
691	24893	47052
692	24929	47016
693	24964	46980
694	25001	46944
695	25035	46906
696	25072	46871
697	25107	46832
698	25140	46792
699	25177	46757
700	25212	46721
701	25248	46683
702	25285	46649
703	25320	46613
704	25353	46571
705	25390	46537
706	25425	46498
707	25463	46468
708	25499	46431
709	25536	46396
710	25570	46357
711	25604	46318
712	25639	46281
713	25676	46246
714	25714	46213
715	25749	46175
716	25781	46133
717	25817	46096
718	25853	46061
719	25878	46006
720	25916	45974
721	25958	45949
722	25993	45910
723	26034	45883
724	26071	45849
725	26106	45811
726	26147	45785
727	26213	45801
728	26251	45768
729	26287	45732
730	26326	45703
731	26361	45665
732	26398	45629
733	26433	45592
734	26475	45566
735	26513	45534
736	26580	45551
737	26633	45543
738	26676	45519
739	26717	45492
740	26755	45458
741	26788	45417
742	26825	45382
743	26868	45358
744	26908	45329
745	26945	45295
746	26986	45266
747	27029	45241
748	27067	45208
749	27105	45175
750	27142	45141
751	27175	45100
752	27210	45061
753	27245	45023
754	27279	44983
755	27314	44946
756	27360	44925
757	27389	44877
758	27423	44838
759	27463	44808
760	27503	44778
761	27541	44746
762	27577	44708
763	27610	44668
764	27644	44629
765	27686	44601
766	27728	44574
767	27763	44537
768	27801	44504
769	27843	44476
770	27884	44448
771	27925	44420
772	27969	44396
773	28011	44369
774	28052	44341
775	28088	44304
776	28126	44270
777	28169	44245
778	28198	44198
779	28233	44160
780	28270	44125
781	28309	44093
782	28351	44065
783	28387	44029
784	28428	44000
785	28466	43967
786	28505	43935
787	28548	43909
788	28589	43880
789	28634	43857
790	28675	43828
791	28715	43798
792	28755	43767
793	28798	43741
794	28832	43701
795	28881	43684
796	28923	43656
797	28963	43626
798	29001	43592
799	29035	43552
800	29087	43539
801	29143	43532
802	29203	43532
803	29245	43503
804	29281	43467
805	29321	43437
806	29360	43403
807	29396	43366
808	29430	43326
809	29464	43287
810	29499	43248
811	29534	43210
812	29573	43178
813	29616	43151
814	29656	43120
815	29692	43082
816	29725	43041
817	29762	43006
818	29805	42979
819	29855	42963
820	29893	42928
821	29939	42905
822	29982	42879
823	30012	42833
824	30049	42798
825	30087	42763
826	30123	42726
827	30163	42694
828	30199	42658
829	30241	42629
830	30282	42599
831	30311	42552
832	30366	42541
833	30409	42514
834	30451	42485
835	30476	42434
836	30516	42402
837	30556	42371
838	30598	42341
839	30642	42315
840	30682	42283
841	30720	42250
842	30766	42226
843	30814	42205
844	30877	42205
845	30938	42202
846	30992	42189
847	31045	42175
848	31092	42152
849	31129	42115
850	31169	42084
851	31217	42062
852	31257	42031
853	31300	42002
854	31340	41971
855	31380	41938
856	31423	41909
857	31469	41886
858	31511	41856
859	31553	41826
860	31594	41796
861	31639	41770
862	31683	41742
863	31727	41715
864	31774	41692
865	31820	41668
866	31871	41649
867	31912	41618
868	31963	41599
869	32010	41576
870	32052	41546
871	32096	41519
872	32142	41494
873	32184	41463
874	32225	41433
875	32267	41402
876	32308	41371
877	32349	41339
878	32390	41307
879	32428	41272
880	32465	41236
881	32508	41206
882	32553	41180
883	32597	41152
884	32637	41119
885	32679	41089
886	32721	41058
887	32761	41026
888	32802	40993
889	32846	40965
890	32888	40935
891	32931	40906
892	32974	40876
893	33017	40846
894	33069	40828
895	33110	40797
896	33155	40769
897	33202	40745
898	33246	40717
899	33285	40681
900	33324	40647
901	33359	40608
902	33398	40573
903	33438	40540
904	33478	40507
905	33518	40474
906	33561	40444
907	33596	40404
908	33636	40371
909	33681	40343
910	33718	40306
911	33755	40269
912	33797	40238
913	33849	40218
914	33894	40192
915	33940	40165
916	33984	40136
917	34019	40097
918	34057	40060
919	34088	40016
920	34109	39960
921	34146	39924
922	34183	39887
923	34222	39852
924	34253	39808
925	34292	39773
926	34328	39735
927	34364	39697
928	34394	39651
929	34427	39609
930	34465	39573
931	34504	39539
932	34540	39501
933	34582	39469
934	34621	39434
935	34686	39430
936	34733	39403
937	34773	39370
938	34820	39344
939	34884	39337
940	34921	39300
941	34955	39259
942	34993	39223
943	35028	39184
944	35063	39145
945	35098	39105
946	35135	39068
947	35168	39026
948	35203	38987
949	35242	38952
950	35277	38912
951	35318	38879
952	35351	38838
953	35382	38794
954	35418	38756
955	35456	38720
956	35487	38676
957	35523	38638
958	35557	38598
959	35590	38555
960	35624	38515
961	35661	38478
962	35697	38440
963	35735	38404
964	35775	38370
965	35815	38336
966	35854	38301
967	35892	38265
968	35928	38227
969	35960	38184
970	35999	38149
971	36031	38107
972	36068	38070
973	36106	38033
974	36140	37994
975	36182	37962
976	36220	37926
977	36253	37884
978	36291	37847
979	36328	37811
980	36366	37775
981	36403	37737
982	36439	37699
983	36476	37663
984	36513	37625
985	36547	37585
986	36584	37548
987	36622	37511
988	36662	37477
989	36698	37440
990	36735	37403
991	36773	37366
992	36813	37332
993	36847	37292
994	36885	37256
995	36921	37217
996	36960	37182
997	36997	37145
998	37037	37111
999	37071	37071
1000	37105	37031
1001	37142	36993
1002	37179	36956
1003	37220	36923
1004	37256	36885
1005	37291	36847
1006	37333	36814
1007	37369	36776
1008	37405	36738
1009	37446	36704
1010	37480	36665
1011	37515	36625
1012	37552	36589
1013	37588	36550
1014	37621	36509
1015	37656	36470
1016	37690	36430
1017	37716	36382
1018	37745	36337
1019	37783	36301
1020	37823	36267
1021	37856	36227
1022	37891	36187
1023	37925	36147
1024	37958	36107
1025	37981	36056
1026	38018	36019
1027	38062	35989
1028	38104	35956
1029	38146	35924
1030	38186	35890
1031	38224	35854
1032	38265	35821
1033	38312	35792
1034	38350	35756
1035	38391	35723
1036	38428	35686
1037	38470	35654
1038	38514	35622
1039	38556	35590
1040	38599	35558
1041	38640	35525
1042	38681	35492
1043	38723	35459
1044	38762	35424
1045	38806	35393
1046	38844	35356
1047	38878	35317
1048	38922	35286
1049	38964	35253
1050	39004	35219
1051	39048	35187
1052	39090	35155
1053	39131	35121
1054	39175	35091
1055	39216	35056
1056	39257	35023
1057	39301	34992
1058	39341	34957
1059	39376	34918
1060	39422	34889
1061	39465	34857
1062	39506	34823
1063	39545	34788
1064	39590	34757
1065	39634	34727
1066	39676	34693
1067	39717	34659
1068	39756	34624
1069	39798	34591
1070	39843	34560
1071	39887	34529
1072	39931	34497
1073	39972	34463
1074	40013	34430
1075	40050	34393
1076	40092	34359
1077	40130	34323
1078	40171	34288
1079	40211	34254
1080	40254	34221
1081	40302	34193
1082	40350	34165
1083	40391	34131
1084	40435	34099
1085	40475	34065
1086	40520	34033
1087	40560	33999
1088	40596	33961
